magnet,cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
m1,1,1,10,1.855,0.000,0.000,0.000,-141.1889,-193.5616,136.5750,275.7773,-187.5950,76.1983,-187.2300,-1.82540,-2.81319,-2.26984,124.092,0,1
m1,2,1,1,0.025,40.000,0.000,0.000,-92.2903,-122.5687,9.9877,153.7542,-86.7450,102.6817,-74.6467,-1.81563,-2.76923,-2.23382,124.003,0,1
m1,2,1,2,0.232,40.000,0.000,0.000,-97.3241,-125.1535,9.5047,158.8261,-91.0950,106.0733,-75.3383,-1.82051,-2.79853,-2.24664,123.938,0,1
m1,2,1,3,0.442,40.000,0.000,0.000,-96.5405,-124.1336,8.0288,157.4601,-89.6200,106.6817,-73.3550,-1.83089,-2.78510,-2.25397,124.069,0,1
m1,2,1,4,0.638,40.000,0.000,0.000,-97.3719,-124.6348,7.6542,158.3468,-90.2200,107.2400,-73.7133,-1.82418,-2.78816,-2.24054,123.919,0,1
m1,2,1,5,0.848,40.000,0.000,0.000,-96.7096,-124.5307,6.5927,157.8103,-89.2033,107.5733,-73.3133,-1.82112,-2.79365,-2.24481,123.946,0,1
m1,2,1,6,1.057,40.000,0.000,0.000,-97.2442,-124.8274,6.4526,158.3665,-89.6200,108.0150,-73.3550,-1.82540,-2.80159,-2.24969,123.933,0,1
m1,2,1,7,1.254,40.000,0.000,0.000,-98.3287,-123.4232,5.6155,157.9030,-90.3450,107.9067,-71.6050,-1.80952,-2.79976,-2.25153,124.035,0,1
m1,2,1,8,1.462,40.000,0.000,0.000,-97.4034,-122.5456,5.0321,156.6211,-89.0367,108.0567,-70.1883,-1.82906,-2.78388,-2.25397,124.085,0,1
m1,2,1,9,1.659,40.000,0.000,0.000,-97.2759,-122.7554,4.5409,156.6912,-88.9117,107.9733,-70.6300,-1.81563,-2.80464,-2.26129,124.091,0,1
m1,2,1,10,1.882,40.000,0.000,0.000,-97.7341,-123.9439,5.2884,157.9304,-89.4950,108.5150,-71.8133,-1.82357,-2.79243,-2.24298,123.922,0,1
m1,0,2,1,0.019,-40.000,-40.000,0.000,-110.3195,-22.2022,109.6758,157.1372,-148.1367,-22.9433,-47.1300,-1.83028,-2.78510,-2.25397,124.071,0,1
m1,0,2,2,0.214,-40.000,-40.000,0.000,-110.7469,-22.7150,109.8811,157.6537,-148.5117,-22.9433,-47.6717,-1.80891,-2.77106,-2.23382,124.020,0,1
m1,0,2,3,0.412,-40.000,-40.000,0.000,-111.6860,-23.1913,110.1331,158.5589,-149.4117,-22.6933,-47.9800,-1.82906,-2.81319,-2.26007,123.962,0,1
m1,0,2,4,0.623,-40.000,-40.000,0.000,-111.7822,-23.4797,110.3776,158.8389,-149.6617,-22.2933,-48.3133,-1.81868,-2.77900,-2.25397,124.163,0,1
m1,0,2,5,0.831,-40.000,-40.000,0.000,-111.0920,-23.6702,110.3543,158.3659,-148.9700,-22.7767,-48.6717,-1.81868,-2.79853,-2.24908,123.975,0,1
m1,0,2,6,1.04,-40.000,-40.000,0.000,-110.8348,-23.9261,110.9378,158.6316,-149.2033,-22.6517,-48.8800,-1.83394,-2.79426,-2.24420,123.879,0,1
m1,0,2,7,1.235,-40.000,-40.000,0.000,-110.7784,-23.9587,110.9426,158.6006,-149.1367,-22.6933,-48.9633,-1.83639,-2.80037,-2.24969,123.893,0,1
m1,0,2,8,1.445,-40.000,-40.000,0.000,-111.2659,-23.8627,111.4723,159.2972,-149.7033,-23.0267,-49.3383,-1.82295,-2.78694,-2.25580,124.113,0,1
m1,0,2,9,1.654,-40.000,-40.000,0.000,-110.6258,-23.6393,109.7821,157.6356,-148.2617,-22.6517,-48.5217,-1.81685,-2.80098,-2.25031,123.981,0,1
m1,0,2,10,1.864,-40.000,-40.000,0.000,-110.0366,-23.3688,111.1711,158.1555,-148.7617,-22.8183,-48.6050,-1.84432,-2.77595,-2.25214,124.049,0,1
m1,1,2,1,0.009,0.000,-40.000,0.000,-110.2361,-49.6420,63.0512,136.3517,-126.8283,26.1817,-42.6717,-1.80769,-2.77717,-2.24664,124.137,0,1
