cell_i,cell_j,sample,t_s,x_mm,y_mm,z_mm,Bx_uT,By_uT,Bz_uT,Babs_uT,Bbx_uT,Bby_uT,Bbz_uT,ax_g,ay_g,az_g,tilt_deg,gain_idx,qmc
1,0,6,1.067,0.000,40.000,0.000,23.6625,-331.9114,125.7462,355.7207,-35.8533,113.5067,-335.2133,-1.81685,-2.77900,-2.25153,124.142,4,1
1,0,7,1.274,0.000,40.000,0.000,23.3373,-333.7198,125.2480,357.2123,-35.7867,113.6733,-336.7467,-1.81746,-2.79670,-2.24664,123.963,4,1
1,0,8,1.47,0.000,40.000,0.000,25.1038,-334.9025,125.2168,358.4260,-34.1533,113.8400,-338.1467,-1.81563,-2.79609,-2.24664,123.975,4,1
1,0,9,1.666,0.000,40.000,0.000,24.9885,-334.3962,126.4903,358.3924,-34.8867,114.0067,-337.9800,-1.81380,-2.78144,-2.25275,124.154,4,1
1,0,10,1.889,0.000,40.000,0.000,27.0090,-332.8301,124.0495,356.2214,-32.1867,114.0067,-335.9467,-1.82357,-2.78510,-2.25519,124.115,4,1
2,0,1,0.028,40.000,40.000,0.000,-33.3184,-182.0490,-29.6425,187.4317,-16.3700,146.5567,-115.6883,-1.81990,-2.80403,-2.26068,124.070,0,1
2,0,2,0.223,40.000,40.000,0.000,-32.9136,-182.0128,-28.9559,187.2176,-16.1617,146.2400,-115.7717,-1.82845,-2.78510,-2.25641,124.108,0,1
2,0,3,0.421,40.000,40.000,0.000,-33.1301,-181.6389,-31.5099,187.3050,-15.3700,147.3650,-114.5883,-1.81319,-2.79853,-2.24969,124.006,0,1
2,0,4,0.616,40.000,40.000,0.000,-32.4697,-181.8071,-31.5112,187.3528,-14.7200,147.2650,-114.8800,-1.81685,-2.79426,-2.24664,123.982,0,1
2,0,5,0.84,40.000,40.000,0.000,-33.5754,-178.2573,-32.0222,184.1967,-15.3283,146.2400,-110.9383,-1.83150,-2.78510,-2.25641,124.095,0,1
2,0,6,1.035,40.000,40.000,0.000,-34.0306,-177.8204,-33.8425,184.1833,-15.1783,146.9733,-109.9633,-1.80708,-2.79609,-2.25092,124.063,0,1
2,0,7,1.243,40.000,40.000,0.000,-33.8723,-177.3262,-33.6652,183.6444,-14.9283,146.4483,-109.7967,-1.82906,-2.80281,-2.25275,123.945,0,1
2,0,8,1.441,40.000,40.000,0.000,-33.4580,-179.0520,-33.2275,185.1570,-14.9700,147.0567,-111.5050,-1.80647,-2.80037,-2.25214,124.051,0,1
2,0,9,1.649,40.000,40.000,0.000,-32.9976,-179.4503,-32.9415,185.4087,-14.5117,146.9317,-112.1467,-1.82357,-2.80037,-2.24969,123.949,0,1
2,0,10,1.859,40.000,40.000,0.000,-33.4712,-180.0405,-33.0486,186.0836,-14.8033,147.5317,-112.4383,-1.82906,-2.79670,-2.24542,123.899,0,1
0,1,1,0.02,-40.000,0.000,0.000,-124.7697,-124.8247,242.3090,299.7705,-221.2450,-45.2350,-197.1467,-1.82601,-2.78327,-2.25153,124.074,0,1
0,1,2,0.219,-40.000,0.000,0.000,-124.1631,-126.6321,243.6302,301.3434,-221.0783,-46.1517,-199.5050,-1.82540,-2.79976,-2.24908,123.938,0,1
0,1,3,0.428,-40.000,0.000,0.000,-125.5092,-127.8131,245.1471,303.6212,-222.9117,-45.7517,-201.0050,-1.82845,-2.80342,-2.25885,124.015,0,1
0,1,4,0.638,-40.000,0.000,0.000,-127.0761,-127.8500,244.6609,303.8963,-223.9950,-45.3183,-200.3133,-1.83455,-2.82112,-2.26435,123.936,0,1
0,1,5,0.843,-40.000,0.000,0.000,-126.3740,-128.0096,244.9870,303.9334,-223.1200,-45.7100,-201.2550,-1.81929,-2.81013,-2.26496,124.082,0,1
0,1,6,1.056,-40.000,0.000,0.000,-125.6088,-126.8872,246.3556,304.2516,-223.3700,-46.7767,-201.2133,-1.81441,-2.78327,-2.25519,124.168,0,1
0,1,7,1.252,-40.000,0.000,0.000,-126.0104,-126.5610,246.0763,304.0556,-223.5367,-47.2100,-200.6300,-1.82845,-2.81319,-2.26801,124.058,0,1
0,1,8,1.463,-40.000,0.000,0.000,-128.3157,-126.4500,243.9712,303.2762,-223.9533,-45.6683,-199.3383,-1.80647,-2.80830,-2.26618,124.164,0,1
0,1,9,1.659,-40.000,0.000,0.000,-127.9996,-126.7708,245.2560,304.3111,-224.7617,-46.3183,-199.8550,-1.81319,-2.80098,-2.25092,124.004,0,1
0,1,10,1.853,-40.000,0.000,0.000,-128.3860,-128.6138,245.6232,305.5408,-225.2200,-45.3183,-201.4383,-1.80952,-2.79731,-2.24847,124.015,0,1
1,1,1,0.024,0.000,0.000,0.000,-140.4731,-183.0976,129.9267,264.8365,-183.8283,73.3650,-175.9633,-1.80403,-2.80098,-2.25275,124.065,0,1
1,1,2,0.233,0.000,0.000,0.000,-138.3924,-183.5707,132.3018,265.2441,-183.4117,72.1567,-177.5050,-1.83394,-2.80098,-2.25031,123.907,0,1
1,1,3,0.431,0.000,0.000,0.000,-139.7468,-186.5984,133.1834,268.4883,-184.7200,73.3650,-180.5050,-1.81380,-2.80464,-2.25885,124.070,0,1
1,1,4,0.653,0.000,0.000,0.000,-140.5469,-188.7255,134.2680,270.9218,-186.1617,74.6400,-182.1300,-1.82662,-2.79731,-2.24786,123.934,0,1
1,1,5,0.85,0.000,0.000,0.000,-141.4159,-190.3490,133.4695,272.1127,-186.2867,76.0567,-183.1883,-1.81380,-2.81013,-2.26557,124.113,0,1
1,1,6,1.052,0.000,0.000,0.000,-142.0367,-191.2464,134.4533,273.5458,-187.3867,76.2817,-184.1050,-1.81746,-2.80464,-2.25763,124.040,0,1
1,1,7,1.254,0.000,0.000,0.000,-142.3728,-192.4218,136.1444,275.3752,-188.4700,75.8483,-185.8967,-1.81624,-2.80220,-2.25153,123.990,0,1
1,1,8,1.45,0.000,0.000,0.000,-141.2507,-193.0918,137.5985,275.9884,-188.1367,76.2817,-186.9633,-1.81380,-2.78022,-2.26801,124.342,0,1
1,1,9,1.658,0.000,0.000,0.000,-141.5040,-190.9620,135.3703,273.5233,-187.4283,76.0983,-184.1050,-1.81502,-2.78144,-2.25275,124.148,0,1
1,1,10,1.855,0.000,0.000,0.000,-141.1889,-193.5616,136.5750,275.7773,-187.5950,76.1983,-187.2300,-1.82540,-2.81319,-2.26984,124.092,0,1
2,1,1,0.025,40.000,0.000,0.000,-92.2903,-122.5687,9.9877,153.7542,-86.7450,102.6817,-74.6467,-1.81563,-2.76923,-2.23382,124.003,0,1
2,1,2,0.232,40.000,0.000,0.000,-97.3241,-125.1535,9.5047,158.8261,-91.0950,106.0733,-75.3383,-1.82051,-2.79853,-2.24664,123.938,0,1
2,1,3,0.442,40.000,0.000,0.000,-96.5405,-124.1336,8.0288,157.4601,-89.6200,106.6817,-73.3550,-1.83089,-2.78510,-2.25397,124.069,0,1
2,1,4,0.638,40.000,0.000,0.000,-97.3719,-124.6348,7.6542,158.3468,-90.2200,107.2400,-73.7133,-1.82418,-2.78816,-2.24054,123.919,0,1
2,1,5,0.848,40.000,0.000,0.000,-96.7096,-124.5307,6.5927,157.8103,-89.2033,107.5733,-73.3133,-1.82112,-2.79365,-2.24481,123.946,0,1
2,1,6,1.057,40.000,0.000,0.000,-97.2442,-124.8274,6.4526,158.3665,-89.6200,108.0150,-73.3550,-1.82540,-2.80159,-2.24969,123.933,0,1
2,1,7,1.254,40.000,0.000,0.000,-98.3287,-123.4232,5.6155,157.9030,-90.3450,107.9067,-71.6050,-1.80952,-2.79976,-2.25153,124.035,0,1
2,1,8,1.462,40.000,0.000,0.000,-97.4034,-122.5456,5.0321,156.6211,-89.0367,108.0567,-70.1883,-1.82906,-2.78388,-2.25397,124.085,0,1
2,1,9,1.659,40.000,0.000,0.000,-97.2759,-122.7554,4.5409,156.6912,-88.9117,107.9733,-70.6300,-1.81563,-2.80464,-2.26129,124.091,0,1
2,1,10,1.882,40.000,0.000,0.000,-97.7341,-123.9439,5.2884,157.9304,-89.4950,108.5150,-71.8133,-1.82357,-2.79243,-2.24298,123.922,0,1
0,2,1,0.019,-40.000,-40.000,0.000,-110.3195,-22.2022,109.6758,157.1372,-148.1367,-22.9433,-47.1300,-1.83028,-2.78510,-2.25397,124.071,0,1
0,2,2,0.214,-40.000,-40.000,0.000,-110.7469,-22.7150,109.8811,157.6537,-148.5117,-22.9433,-47.6717,-1.80891,-2.77106,-2.23382,124.020,0,1
0,2,3,0.412,-40.000,-40.000,0.000,-111.6860,-23.1913,110.1331,158.5589,-149.4117,-22.6933,-47.9800,-1.82906,-2.81319,-2.26007,123.962,0,1
0,2,4,0.623,-40.000,-40.000,0.000,-111.7822,-23.4797,110.3776,158.8389,-149.6617,-22.2933,-48.3133,-1.81868,-2.77900,-2.25397,124.163,0,1
0,2,5,0.831,-40.000,-40.000,0.000,-111.0920,-23.6702,110.3543,158.3659,-148.9700,-22.7767,-48.6717,-1.81868,-2.79853,-2.24908,123.975,0,1
0,2,6,1.04,-40.000,-40.000,0.000,-110.8348,-23.9261,110.9378,158.6316,-149.2033,-22.6517,-48.8800,-1.83394,-2.79426,-2.24420,123.879,0,1
0,2,7,1.235,-40.000,-40.000,0.000,-110.7784,-23.9587,110.9426,158.6006,-149.1367,-22.6933,-48.9633,-1.83639,-2.80037,-2.24969,123.893,0,1
0,2,8,1.445,-40.000,-40.000,0.000,-111.2659,-23.8627,111.4723,159.2972,-149.7033,-23.0267,-49.3383,-1.82295,-2.78694,-2.25580,124.113,0,1
0,2,9,1.654,-40.000,-40.000,0.000,-110.6258,-23.6393,109.7821,157.6356,-148.2617,-22.6517,-48.5217,-1.81685,-2.80098,-2.25031,123.981,0,1
0,2,10,1.864,-40.000,-40.000,0.000,-110.0366,-23.3688,111.1711,158.1555,-148.7617,-22.8183,-48.6050,-1.84432,-2.77595,-2.25214,124.049,0,1
1,2,1,0.009,0.000,-40.000,0.000,-110.2361,-49.6420,63.0512,136.3517,-126.8283,26.1817,-42.6717,-1.80769,-2.77717,-2.24664,124.137,0,1
1,2,2,0.23,0.000,-40.000,0.000,-110.6141,-51.1746,63.5705,137.4610,-127.4283,27.1650,-43.8133,-1.83028,-2.79121,-2.23871,123.850,0,1
1,2,3,0.425,0.000,-40.000,0.000,-110.0280,-51.8768,63.0529,137.0147,-126.6617,27.6400,-44.3383,-1.82540,-2.79243,-2.24298,123.914,0,1
1,2,4,0.634,0.000,-40.000,0.000,-108.9162,-53.5337,60.9585,135.8107,-124.7200,29.7483,-44.7717,-1.82967,-2.79853,-2.24908,123.927,0,1
1,2,5,0.834,0.000,-40.000,0.000,-108.9371,-53.8250,61.3356,136.1120,-124.9283,30.1233,-44.8550,-1.84493,-2.79182,-2.25214,123.941,0,1
1,2,6,1.054,0.000,-40.000,0.000,-108.7841,-52.4807,60.4457,135.0625,-124.3867,29.9567,-43.2717,-1.84127,-2.77961,-2.25092,124.024,0,1
1,2,7,1.25,0.000,-40.000,0.000,-109.4118,-52.7812,60.3962,135.6631,-124.8867,29.4567,-44.0467,-1.81868,-2.81013,-2.26313,124.063,0,1
1,2,8,1.445,0.000,-40.000,0.000,-110.1537,-52.8525,59.8713,136.0580,-125.3033,29.9150,-43.7717,-1.80586,-2.80586,-2.26190,124.132,0,1
1,2,9,1.655,0.000,-40.000,0.000,-108.9968,-52.2778,60.2548,135.0700,-124.4700,29.5817,-43.3133,-1.82173,-2.78205,-2.25214,124.108,0,1
1,2,10,1.865,0.000,-40.000,0.000,-110.0586,-51.8200,59.3916,135.3720,-125.0117,29.7900,-42.5467,-1.81929,-2.81074,-2.26618,124.092,0,1
2,2,1,0.026,40.000,-40.000,0.000,-72.1691,-45.9448,12.7392,86.4962,-70.0950,45.4483,-22.4217,-1.82540,-2.79548,-2.24603,123.930,0,1
2,2,2,0.233,40.000,-40.000,0.000,-72.9108,-46.7606,13.0066,87.5883,-70.8283,46.0983,-23.0217,-1.85043,-2.82418,-2.25641,123.754,0,1
2,2,3,0.442,40.000,-40.000,0.000,-73.0303,-46.5963,12.6384,87.5463,-70.9117,45.9733,-22.8550,-1.81807,-2.81624,-2.25946,123.982,0,1
2,2,4,0.636,40.000,-40.000,0.000,-73.8300,-46.5925,12.8145,88.2380,-71.6200,46.3483,-22.5467,-1.82112,-2.79365,-2.24176,123.910,0,1
2,2,5,0.845,40.000,-40.000,0.000,-72.4909,-46.0262,13.4398,86.9136,-70.7033,45.1983,-22.6300,-1.81990,-2.78022,-2.25031,124.106,0,1
2,2,6,1.04,40.000,-40.000,0.000,-73.9085,-46.7670,12.8781,88.4051,-71.7450,46.4733,-22.5467,-1.81380,-2.78083,-2.25153,124.143,0,1
2,2,7,1.237,40.000,-40.000,0.000,-73.4111,-46.0016,12.1712,87.4842,-71.0367,46.0567,-22.0467,-1.81685,-2.81441,-2.25458,123.942,0,1
2,2,8,1.46,40.000,-40.000,0.000,-73.6931,-46.9126,12.3054,88.2207,-71.2867,46.9067,-22.3800,-1.81502,-2.78022,-2.25153,124.142,0,1
2,2,9,1.657,40.000,-40.000,0.000,-73.7654,-46.4144,11.5873,87.9199,-71.1617,46.7400,-21.9383,-1.80403,-2.80952,-2.26496,124.152,0,1
2,2,10,1.865,40.000,-40.000,0.000,-75.0001,-46.7933,12.7545,89.3157,-72.5950,47.0317,-22.2550,-1.82967,-2.79426,-2.24237,123.876,0,1
